ahpF & 0.0089 & 0.3209 & 0.0276 \\
B657\_RS21020 & 0.06865 & 0.20535 & 1.502685 \\
B657\_RS21115 & 0.2269 & 0.5699 & 0.82422 \\
B657\_RS21120 & 6.56293611111111 & NA & 175.544353888889 \\
B657\_RS21125 & 5.452575 & 14.86645 & 376.541900625 \\
B657\_RS21130 & 0.033425 & 0.0803 & NA \\
B657\_RS21135 & 0.10975 & 0.2762 & 1.569675 \\
B657\_RS21140 & 0.17485 & 0.0841 & 499.979855 \\
B657\_RS21170 & 0.0342 & 0.4167 & 0.08208 \\
B657\_RS21175 & 0.0331 & 0.36845 & 0.09302 \\
B657\_RS21180 & 0.0609 & 0.16025 & 2.69888 \\
B657\_RS21190 & 0.0614 & 0.157775 & 2.5831025 \\
B657\_RS21195 & 0.1062 & 0.266575 & 2.4694825 \\
B657\_RS21205 & 0.14205 & 0.2747 & 1.287675 \\
B657\_RS21220 & 0.11405 & 0.22385 & 0.715915 \\
B657\_RS21225 & 0.0722 & 0.17465 & 1.054775 \\
B657\_RS21230 & 0.05005 & 0.1057 & 2.05424 \\
B657\_RS21240 & 0.09825 & 0.246675 & 2.201505 \\
B657\_RS21245 & 0.0784 & 0.1407 & 1.177465 \\
B657\_RS21255 & 0.1036625 & 0.1971625 & 1.1127075 \\
B657\_RS21260 & 0.011 & 0.3412 & 0.03212 \\
B657\_RS21265 & 0.03525 & 0.11195 & 1.117995 \\
B657\_RS21270 & 0.0247 & 0.2268 & 0.1089 \\
B657\_RS21275 & 0.05305 & 0.07635 & 129.29925 \\
B657\_RS21285 & 0.0412 & 0.1021 & 1.34701 \\
B657\_RS21300 & 0.253125 & 1.12595 & 0.8772275 \\
B657\_RS21310 & 0.0464 & 0.10365 & 1.16109 \\
B657\_RS21315 & 0.0624 & 0.1359 & 14.25389 \\
B657\_RS21320 & 0.07645 & 0.20535 & 1.97697 \\
B657\_RS21325 & 0.07335 & 0.1646 & 1.907455 \\
B657\_RS21350 & 0.06255 & 0.14875 & 1.886595 \\
B657\_RS21355 & 0.0635 & 0.1271 & 4.48657 \\
B657\_RS21360 & 0.0651 & 0.17635 & 2.284335 \\
B657\_RS21365 & 0.0059 & 0.2287 & 0.02591 \\
B657\_RS21390 & 0.0468 & 0.3915 & 0.119485 \\
B657\_RS21410 & 0.06005 & 0.2045 & 2.031755 \\
B657\_RS21425 & 0.055325 & 0.257525 & 0.4972475 \\
B657\_RS21430 & 0.25945 & NA & 0.6144975 \\
B657\_RS21435 & 0.0311 & 0.5497 & 0.05665 \\
B657\_RS21500 & 0.0675 & 0.3196 & 0.21136 \\
B657\_RS21505 & 0.1051 & 0.2234 & 1.19399 \\
B657\_RS21515 & 0.0928 & 0.21025 & 0.919255 \\
B657\_RS21520 & 0.05665 & 0.1246 & 0.95266 \\
B657\_RS21525 & 0.0326 & 0.4706 & 0.06919 \\
B657\_RS21535 & 0.0376 & 0.2516 & 0.14955 \\
B657\_RS21540 & 0.0457666666666667 & 0.200233333333333 & 1.38538333333333 \\
B657\_RS21545 & 0.1451 & 0.29335 & 0.63951 \\
B657\_RS21565 & 0.0277 & 0.3596 & 0.07691 \\
